n	fold	rate	mode	seconds
22	1	5	cpu	14.8603
22	1	5	gpu	10.5810
22	1	5	gpu_fused	6.8606
22	1	5	gpu_grind	6.9163
22	2	5	cpu	6.1587
22	2	5	gpu	3.6389
22	2	5	gpu_fused	3.3824
22	2	5	gpu_grind	3.5447
22	3	5	cpu	11.0334
22	3	5	gpu	6.8876
22	3	5	gpu_fused	4.9916
22	3	5	gpu_grind	5.3797
22	4	5	cpu	13.0376
22	4	5	gpu	17.5134
22	4	5	gpu_fused	13.9667
22	4	5	gpu_grind	5.3907
22	6	5	cpu	fail
22	6	5	cpu	timeout
22	6	5	gpu	timeout
22	6	5	gpu_fused	timeout
22	6	5	gpu_grind	fail
